"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Croatia","Split","Population, all ages, administrative data",352550,352981,352747,352659,352545,352650,351999,350890,349609,347708,346840,16.4435148,43.5147118
"Croatia","Zagreb","Population, all ages, administrative data",1209828,1213749,1216198,1218397,1220264,1222148,1223564,1221551,1220134,1216677,1216882,15.981919,45.8150108
"Czechia","Brno","Population, all ages, administrative data",692156,696231,699254,710069,712584,714532,717451,719694,723491,727759,731860,16.6068371,49.1950602
"Czechia","Ostrava","Population, all ages, administrative data",749537,746978,743019,732283,729095,725394,722199,718996,716644,713812,711860,18.2625243,49.8209226
"Czechia","Plzeň","Population, all ages, administrative data",333694,335612,335541,336529,337849,339191,341139,342666,344477,346368,349534,13.3736371,49.7384314
"Czechia","Praha","Population, all ages, administrative data",2028986,2060601,2085351,2082835,2099774,2106508,2134183,2153625,2177527,2203315,2231212,14.4378005,50.0755381
"Denmark","Aalborg","Population, all ages, administrative data",299944,301009,302650,304418,306511,308581,310738,313978,316037,318312,320058,9.921747,57.0488195
"Denmark","Århus","Population, all ages, administrative data",468409,473595,479153,483234,488038,492724,496131,501795,508352,514944,521123,10.203921,56.162939
"Denmark","København","Population, all ages, administrative data",1912049,1931334,1951976,1968750,1987967,2007762,2030146,2054881,2075730,2092889,2108008,12.5683371,55.6760968
"Denmark","Odense","Population, all ages, administrative data",367275,368014,368570,369297,370465,371957,373810,376496,378691,380516,382711,10.40237,55.403756
"Estonia","Tallinn","Population, all ages, administrative data",547091,551640,557170,561640,562855,566954,565246,572638,578474,585662,594083,24.7535746,59.4369608
"Finland","Helsinki/Helsingfors","Population, all ages, administrative data",1334906,1350328,1364382,1381256,1399137,1417377,1435405,1453078,1471930,1490142,1507140,24.938379,60.1698557
"Finland","Oulu/Uleåborg","Population, all ages, administrative data",230842,234524,237973,241371,244842,248313,251378,254116,256295,258241,260277,25.4650773,65.0120888
"Finland","Tampere/Tammerfors","Population, all ages, administrative data",404029,408190,412121,416209,420636,425139,429121,432689,436732,440372,444370,23.7609535,61.4977524
"Finland","Turku/Åbo","Population, all ages, administrative data",337012,338946,341200,343554,346100,348705,350788,353218,355246,357758,359725,22.2666303,60.4518126
"France","Amiens","Population, all ages, administrative data",347614,348557,349484,349745,350894,351315,352225,353759,354520,354033,354821,2.295753,49.894067
"France","Angers","Population, all ages, administrative data",405270,408095,411165,414478,417963,421790,424955,426690,429669,432939,436175,-0.5518257,47.4711616
"France","Annecy","Population, all ages, administrative data",256779,262027,264861,267215,272507,277895,281367,284253,286515,289199,293608,6.129384,45.899247
"France","Annemasse-Geneva (French part)","Population, all ages, administrative data",356167,365223,373626,382331,392003,400974,409521,416247,421855,428003,433194,6.234158,46.193253
"France","Avignon","Population, all ages, administrative data",318652,319936,322756,323996,326432,330108,331508,333313,334289,334814,336135,4.805528,43.949317
"France","Bayonne","Population, all ages, administrative data",245223,246570,248702,252638,255474,258393,262242,265834,269610,273137,276790,-1.474841,43.492949
"France","Besançon","Population, all ages, administrative data",269766,270618,270835,272616,274810,275692,276829,277576,277937,279191,280868,6.0240539,47.237829
"France","Bordeaux","Population, all ages, administrative data",1182709,1196972,1210954,1229618,1250521,1269315,1289831,1307106,1323402,1341775,1363711,-0.57918,44.837789
"France","Brest","Population, all ages, administrative data",359590,361038,361602,362509,364042,365490,367345,368613,370033,371072,372895,-4.4869723,48.3907119
"France","Caen","Population, all ages, administrative data",448255,450248,452487,455492,457623,460457,463538,465382,467642,469526,472161,-0.370679,49.182863
"France","Cannes-Antibes","Population, all ages, administrative data",391300,390517,392108,393308,394207,393439,392368,392042,391751,390345,393170,7.0923186,43.5745065
"France","Chambéry","Population, all ages, administrative data",232918,236492,240090,241172,244080,247017,248106,249653,251324,253430,255790,5.917781,45.564601
"France","Clermont-Ferrand","Population, all ages, administrative data",473328,476679,480093,482967,486103,489017,492470,495915,498877,504157,507479,3.087025,45.777222
"France","Dijon","Population, all ages, administrative data",396769,397025,399074,400804,403516,405837,407903,408341,410168,410568,412189,5.04148,47.322047
"France","Dunkerque","Population, all ages, administrative data",266440,266018,265475,265406,264986,265839,265577,264152,262803,262045,260788,2.3767763,51.0343684
